trade_id,sess,expiry,spot,settle,vix,rsi,em,short_call,long_call,short_put,long_put,fill_sc,fill_lc,fill_sp,fill_lp,credit_pts,max_risk,lot,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net,breach_side
72,2023-05-25,2023-06-01,18321.15,18487.75,13.11,60.245233394903345,281.12,18850.0,19050.0,17800.0,17600.0,2.09,1.91,5.98,3.46,2.7,9865.0,50,135.0,80.0,0.25,0.34,14.46,0.01,0.0,20.0,115.06,19.94,none
73,2023-06-01,2023-06-08,18487.75,18634.55,11.97,64.98980881690895,259.01,18950.0,19150.0,18000.0,17800.0,5.13,2.56,7.18,3.31,6.44,9678.0,50,322.0,80.0,0.38,0.45,14.48,0.01,0.0,20.0,115.33,206.67,none
74,2023-06-15,2023-06-22,18688.1,18771.25,11.16,66.84884258638431,244.1,19150.0,19350.0,18250.0,18050.0,3.14,2.21,7.68,4.71,3.9,9805.0,50,195.0,80.0,0.34,0.44,14.48,0.01,0.0,20.0,115.27,79.73,none
75,2023-07-13,2023-07-20,19413.75,19979.15,10.94,67.77344844815538,248.58,19850.0,20050.0,18950.0,18750.0,6.13,3.31,6.73,4.21,5.34,9733.0,50,-6190.5,80.0,0.4,3.74,15.07,0.01,0.01,20.0,119.23,-6309.73,call
76,2023-07-27,2023-08-03,19659.9,19381.65,10.46,66.68507028041822,240.69,20100.0,20300.0,19250.0,19050.0,13.41,5.22,10.02,5.06,13.15,9342.5,50,657.5,80.0,0.73,0.84,14.55,0.02,0.0,20.0,116.14,541.36,none
77,2023-08-03,2023-08-10,19381.65,19543.1,11.28,52.59169241495641,255.88,19850.0,20050.0,18900.0,18700.0,7.38,3.86,8.22,4.31,7.43,9628.5,50,371.5,80.0,0.49,0.59,14.51,0.01,0.0,20.0,115.6,255.9,none
78,2023-08-17,2023-08-24,19365.25,19386.7,12.13,49.149295733392385,274.93,19850.0,20050.0,18850.0,18650.0,3.79,2.21,5.68,3.16,4.1,9795.0,50,205.0,80.0,0.3,0.37,14.47,0.01,0.0,20.0,115.14,89.86,none
79,2023-08-24,2023-08-31,19386.7,19253.8,11.73,49.53187479124998,266.16,19850.0,20050.0,18900.0,18700.0,4.44,2.51,7.53,3.46,6.0,9700.0,50,300.0,80.0,0.37,0.45,14.48,0.01,0.0,20.0,115.31,184.69,none
80,2023-08-31,2023-09-07,19253.8,19727.05,11.8,46.10103521415654,265.91,19750.0,19950.0,18800.0,18600.0,5.03,2.11,7.73,3.66,6.99,9650.5,50,349.5,80.0,0.4,0.46,14.48,0.01,0.0,20.0,115.36,234.14,none
81,2023-09-07,2023-09-14,19727.05,20103.1,10.68,59.0962898609284,246.59,20150.0,20350.0,19300.0,19100.0,3.64,1.75,9.32,5.27,5.94,9703.0,50,297.0,80.0,0.41,0.5,14.49,0.01,0.0,20.0,115.41,181.59,none
