strategy,initial_capital,trade_id,entry_date,expiry_date,net_pnl,costs,equity_after,peak_equity,current_dd_pct
IRON_FLY,100000.0,IRON_FLY_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1146.43,955.18,98853.57,100000.0,1.15
IRON_FLY,100000.0,IRON_FLY_2020-02-24_2020-02-27,2020-02-24,2020-02-27,8648.72,895.03,107502.29,107502.29,0.0
IRON_FLY,100000.0,IRON_FLY_2020-02-28_2020-03-05,2020-02-28,2020-03-05,29267.39,800.11,136769.68,136769.68,0.0
IRON_FLY,100000.0,IRON_FLY_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2176.44,1422.69,134593.24,136769.68,1.59
IRON_FLY,100000.0,IRON_FLY_2020-04-03_2020-04-09,2020-04-03,2020-04-09,347.36,1190.14,134940.6,136769.68,1.34
IRON_FLY,100000.0,IRON_FLY_2020-04-13_2020-04-16,2020-04-13,2020-04-16,2542.66,1177.34,137483.26,137483.26,0.0
IRON_FLY,100000.0,IRON_FLY_2020-04-24_2020-04-30,2020-04-24,2020-04-30,-84352.48,1361.23,53130.78,137483.26,61.35
IRON_FLY,100000.0,IRON_FLY_2020-05-08_2020-05-14,2020-05-08,2020-05-14,11771.0,1241.5,64901.78,137483.26,52.79
IRON_FLY,100000.0,IRON_FLY_2020-05-15_2020-05-21,2020-05-15,2020-05-21,14000.46,1243.29,78902.24,137483.26,42.61
IRON_FLY,100000.0,IRON_FLY_2020-05-22_2020-05-28,2020-05-22,2020-05-28,-64916.39,1372.64,13985.85,137483.26,89.83
IRON_CONDOR,20000.0,IRON_CONDOR_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1086.21,932.46,18913.79,20000.0,5.43
IRON_CONDOR,50000.0,IRON_CONDOR_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1086.21,932.46,48913.79,50000.0,2.17
IRON_CONDOR,50000.0,IRON_CONDOR_2020-02-24_2020-02-27,2020-02-24,2020-02-27,-8680.89,903.39,40232.9,50000.0,19.53
IRON_CONDOR,50000.0,IRON_CONDOR_2020-02-28_2020-03-05,2020-02-28,2020-03-05,-6282.7,841.45,33950.2,50000.0,32.1
