signal_timestamp,order_timestamp,fill_timestamp,signal_date,execution_date,year,month,expiry_date,exit_date,exit_reason,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,strike_offset,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,exit_spread_val,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,candidate_id,candidate_name,in_primary_5y,strategy_source
2019-10-17 15:30:00,2019-10-18 09:15:00,2019-10-18 09:15:00,2019-10-17,2019-10-18,2019,2019-10,2019-10-24,2019-10-24,EXPIRY_SETTLEMENT,3,16.36,11586.35,11580.3,BULL_CALL,11650.0,11800.0,150.0,50.0,53.55,17.15,53.65,17.05,36.6,75,2745.0,11582.6,0.0,-2745.0,51.25,-2796.25,0,-12648.400000000001,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2019-10-29 15:30:00,2019-10-30 09:15:00,2019-10-30 09:15:00,2019-10-29,2019-10-30,2019,2019-10,2019-10-31,2019-10-31,EXPIRY_SETTLEMENT,1,15.32,11786.85,11883.9,BULL_CALL,11950.0,12100.0,150.0,50.0,16.0,3.5,16.1,3.4,12.7,75,952.5,11877.45,0.0,-952.5,48.26,-1000.76,0,-13649.160000000002,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2019-11-25 15:30:00,2019-11-26 09:15:00,2019-11-26 09:15:00,2019-11-25,2019-11-26,2019,2019-11,2019-11-28,2019-11-28,EXPIRY_SETTLEMENT,2,14.87,12073.75,12110.2,BULL_CALL,12150.0,12300.0,150.0,50.0,43.45,7.45,43.55,7.35,36.2,75,2715.0,12151.15,1.15,-2628.75,50.06,-2678.81,0,-16327.970000000001,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2019-12-10 15:30:00,2019-12-11 09:15:00,2019-12-11 09:15:00,2019-12-10,2019-12-11,2019,2019-12,2019-12-12,2019-12-12,EXPIRY_SETTLEMENT,1,14.6,11856.8,11867.35,BEAR_PUT,11800.0,11650.0,150.0,50.0,16.35,1.55,16.45,1.45,15.0,75,1125.0,11971.8,0.0,-1125.0,48.1,-1173.1,0,-17501.07,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2019-12-17 15:30:00,2019-12-18 09:15:00,2019-12-18 09:15:00,2019-12-17,2019-12-18,2019,2019-12,2019-12-19,2019-12-19,EXPIRY_SETTLEMENT,1,13.42,12165.0,12197.0,BULL_CALL,12250.0,12400.0,150.0,50.0,12.65,1.7,12.75,1.6,11.15,75,836.25,12259.7,9.7,-108.75,49.28,-158.03,0,-17659.1,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-01-06 15:30:00,2020-01-07 09:15:00,2020-01-07 09:15:00,2020-01-06,2020-01-07,2020,2020-01,2020-01-09,2020-01-09,EXPIRY_SETTLEMENT,2,12.7,11993.05,12079.1,BEAR_PUT,12050.0,11900.0,150.0,50.0,61.4,20.0,61.5,19.9,41.6,75,3120.0,12215.9,0.0,-3120.0,51.88,-3171.88,0,-20830.98,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-02-24 15:30:00,2020-02-25 09:15:00,2020-02-25 09:15:00,2020-02-24,2020-02-25,2020,2020-02,2020-02-27,2020-02-27,EXPIRY_SETTLEMENT,2,13.7,11829.4,11877.5,BEAR_PUT,11850.0,11700.0,150.0,50.0,84.0,26.1,84.1,26.0,58.1,75,4357.5,11633.3,150.0,6892.5,86.37,6806.13,1,-14024.849999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-03-06 15:30:00,2020-03-09 09:15:00,2020-03-09 09:15:00,2020-03-06,2020-03-09,2020,2020-03,2020-03-12,2020-03-12,EXPIRY_SETTLEMENT,2,23.25,10989.45,10742.05,BEAR_PUT,10700.0,10550.0,150.0,50.0,140.0,84.2,140.1,84.1,56.0,75,4200.0,9590.15,150.0,7050.0,257.21,6792.79,1,-7232.059999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-10-06 15:30:00,2020-10-07 09:15:00,2020-10-07 09:15:00,2020-10-06,2020-10-07,2020,2020-10,2020-10-08,2020-10-08,EXPIRY_SETTLEMENT,1,19.71,11662.4,11679.25,BULL_CALL,11750.0,11900.0,150.0,50.0,22.0,2.8,22.1,2.7,19.4,75,1455.0,11834.6,84.6,4890.0,60.16,4829.84,1,-2402.2199999999984,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-11-05 15:30:00,2020-11-06 09:15:00,2020-11-06 09:15:00,2020-11-05,2020-11-06,2020,2020-11,2020-11-12,2020-11-12,EXPIRY_SETTLEMENT,4,23.2,12120.3,12156.65,BULL_CALL,12200.0,12350.0,150.0,50.0,99.0,50.0,99.1,49.9,49.2,75,3690.0,12690.8,150.0,7560.0,139.25,7420.75,1,5018.530000000002,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-11-17 15:30:00,2020-11-18 09:15:00,2020-11-18 09:15:00,2020-11-17,2020-11-18,2020,2020-11,2020-11-19,2020-11-19,EXPIRY_SETTLEMENT,1,19.7,12874.2,12860.1,BULL_CALL,12900.0,13050.0,150.0,50.0,40.05,10.25,40.15,10.15,30.0,75,2250.0,12771.7,0.0,-2250.0,50.0,-2300.0,0,2718.5300000000016,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
