trade_id,candidate,sess,expiry,spot,settle,vix,rsi,em,lot,structure,spread_type,short_strike,wing_strike,short_fill,wing_fill,credit_pts,wing_width,max_risk,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net
38,C1_TREND_AUTO_1.8SD_W200,2023-04-20,2023-04-27,17624.45,17915.05,12.15,55.82355874621875,250.63,50,spread,BULL_PUT,17150.0,16950.0,6.33,3.56,2.77,200.0,9861.5,138.5,40.0,0.2,0.25,7.24,0.01,0.0,10.0,57.7,80.8
39,C1_TREND_AUTO_1.8SD_W200,2023-05-04,2023-05-11,18255.8,18297.0,11.84,69.51626056469824,252.98,50,spread,BULL_PUT,17800.0,17600.0,6.93,4.01,2.92,200.0,9854.0,146.0,40.0,0.22,0.27,7.25,0.01,0.0,10.0,57.75,88.25
40,C1_TREND_AUTO_1.8SD_W200,2023-05-11,2023-05-18,18297.0,18129.95,13.08,69.5497234887319,280.11,50,spread,BULL_PUT,17800.0,17600.0,8.27,5.11,3.16,200.0,9842.0,158.0,40.0,0.26,0.33,7.26,0.01,0.0,10.0,57.86,100.14
41,C1_TREND_AUTO_1.8SD_W200,2023-05-18,2023-05-25,18129.95,18321.15,13.11,58.65761894343469,278.19,50,spread,BULL_PUT,17650.0,17450.0,6.03,3.21,2.82,200.0,9859.0,141.0,40.0,0.19,0.23,7.24,0.0,0.0,10.0,57.67,83.33
42,C1_TREND_AUTO_1.8SD_W200,2023-05-25,2023-06-01,18321.15,18487.75,13.11,60.245233394903345,281.12,50,spread,BULL_PUT,17800.0,17600.0,5.98,3.46,2.52,200.0,9874.0,126.0,40.0,0.19,0.24,7.24,0.01,0.0,10.0,57.67,68.33
43,C1_TREND_AUTO_1.8SD_W200,2023-06-01,2023-06-08,18487.75,18634.55,11.97,64.98980881690895,259.01,50,spread,BULL_PUT,18000.0,17800.0,7.18,3.31,3.87,200.0,9806.5,193.5,40.0,0.22,0.26,7.25,0.0,0.0,10.0,57.74,135.76
44,C1_TREND_AUTO_1.8SD_W200,2023-06-15,2023-06-22,18688.1,18771.25,11.16,66.84884258638431,244.1,50,spread,BULL_PUT,18250.0,18050.0,7.68,4.71,2.97,200.0,9851.5,148.5,40.0,0.24,0.31,7.26,0.01,0.0,10.0,57.81,90.69
45,C1_TREND_AUTO_1.8SD_W200,2023-07-13,2023-07-20,19413.75,19979.15,10.94,67.77344844815538,248.58,50,spread,BULL_PUT,18950.0,18750.0,6.73,4.21,2.52,200.0,9874.0,126.0,40.0,0.21,0.27,7.25,0.01,0.0,10.0,57.74,68.26
46,C1_TREND_AUTO_1.8SD_W200,2023-07-27,2023-08-03,19659.9,19381.65,10.46,66.68507028041822,240.69,50,spread,BULL_PUT,19250.0,19050.0,10.02,5.06,4.96,200.0,9752.0,248.0,40.0,0.31,0.38,7.27,0.01,0.0,10.0,57.97,190.03
47,C1_TREND_AUTO_1.8SD_W200,2023-08-03,2023-08-10,19381.65,19543.1,11.28,52.59169241495641,255.88,50,spread,BULL_PUT,18900.0,18700.0,8.22,4.31,3.91,200.0,9804.5,195.5,40.0,0.26,0.31,7.26,0.01,0.0,10.0,57.83,137.67
48,C1_TREND_AUTO_1.8SD_W200,2023-08-17,2023-08-24,19365.25,19386.7,12.13,49.149295733392385,274.93,50,spread,BULL_PUT,18850.0,18650.0,5.68,3.16,2.52,200.0,9874.0,126.0,40.0,0.18,0.22,7.24,0.0,0.0,10.0,57.64,68.36
