trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
78,2024-10-10,2024-10-17,100.25,100.25,0.0,52.62,52.62,0.0,47.63,47.63,0.0
79,2024-10-17,2024-10-24,121.25,121.25,0.0,52.71,52.71,0.0,68.54,68.54,0.0
80,2024-11-07,2024-11-14,102.5,102.5,0.0,52.66,52.66,0.0,49.84,49.84,0.0
81,2024-11-28,2024-12-05,-1221.75,-1221.75,0.0,53.86,53.86,0.0,-1275.61,-1275.61,0.0
82,2024-12-05,2024-12-12,364.25,364.25,0.0,54.02,54.02,0.0,310.23,310.23,0.0
83,2024-12-12,2024-12-19,138.5,138.5,0.0,52.81,52.81,0.0,85.69,85.69,0.0
84,2024-12-26,2025-01-02,707.25,707.25,0.0,64.36,64.36,0.0,642.89,642.89,0.0
85,2025-01-02,2025-01-09,685.5,685.5,0.0,65.49,65.49,0.0,620.01,620.01,0.0
86,2025-01-09,2025-01-16,528.0,528.0,0.0,63.95,63.95,0.0,464.05,464.05,0.0
87,2025-01-23,2025-01-30,96.5,96.5,0.0,52.6,52.6,0.0,43.9,43.9,0.0
88,2025-01-30,2025-02-06,1489.5,1489.5,0.0,69.39,69.39,0.0,1420.11,1420.11,0.0
89,2025-02-06,2025-02-13,591.75,591.75,0.0,64.27,64.27,0.0,527.48,527.48,0.0
90,2025-02-13,2025-02-20,509.25,509.25,0.0,63.89,63.89,0.0,445.36,445.36,0.0
91,2025-03-20,2025-03-27,359.25,359.25,0.0,64.05,64.05,0.0,295.2,295.2,0.0
92,2025-04-30,2025-05-08,1028.25,1028.25,0.0,70.75,70.75,0.0,957.5,957.5,0.0
93,2025-05-08,2025-05-15,964.5,964.5,0.0,77.56,77.56,0.0,886.94,886.94,0.0
94,2025-05-15,2025-05-22,603.75,603.75,0.0,66.58,66.58,0.0,537.17,537.17,0.0
95,2025-05-22,2025-05-29,347.25,347.25,0.0,64.43,64.43,0.0,282.82,282.82,0.0
96,2025-05-29,2025-06-05,270.0,270.0,0.0,63.71,63.71,0.0,206.29,206.29,0.0
97,2025-06-05,2025-06-12,455.25,455.25,0.0,64.51,64.51,0.0,390.74,390.74,0.0
98,2025-06-12,2025-06-19,504.0,504.0,0.0,64.64,64.64,0.0,439.36,439.36,0.0
99,2025-06-19,2025-06-26,771.0,771.0,0.0,67.27,67.27,0.0,703.73,703.73,0.0
100,2025-06-26,2025-07-03,702.75,702.75,0.0,66.12,66.12,0.0,636.63,636.63,0.0
101,2025-07-03,2025-07-10,389.25,389.25,0.0,64.14,64.14,0.0,325.11,325.11,0.0
102,2025-07-10,2025-07-17,292.5,292.5,0.0,63.88,63.88,0.0,228.62,228.62,0.0
103,2025-07-17,2025-07-24,315.0,315.0,0.0,63.79,63.79,0.0,251.21,251.21,0.0
104,2025-07-24,2025-07-31,366.75,366.75,0.0,64.07,64.07,0.0,302.68,302.68,0.0
105,2025-07-31,2025-08-07,673.5,673.5,0.0,64.33,64.33,0.0,609.17,609.17,0.0
106,2025-08-07,2025-08-14,398.25,398.25,0.0,63.38,63.38,0.0,334.87,334.87,0.0
107,2025-09-02,2025-09-09,417.0,417.0,0.0,63.5,63.5,0.0,353.5,353.5,0.0
108,2025-09-09,2025-09-16,234.0,234.0,0.0,63.06,63.06,0.0,170.94,170.94,0.0
109,2025-09-16,2025-09-23,318.0,318.0,0.0,63.93,63.93,0.0,254.07,254.07,0.0
110,2025-10-07,2025-10-14,219.0,219.0,0.0,63.38,63.38,0.0,155.62,155.62,0.0
