trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
OTM_STRANGLE_2025-06-27_2025-07-03,OTM_STRANGLE,NIFTY,2025-06-27,2025-07-03,25637.8,25405.3,25650.0,75,130000.0,240.05,600.12,7151.25,80.0,18.0,14.43,17.0,0.35,150.0,279.79,6871.46,EXPIRY,True,"['short_ce:25750.0CE@85.05->0.0', 'short_pe:25550.0PE@155.0->144.70000000000073']",2025,2025-06
OTM_STRANGLE_2025-07-04_2025-07-10,OTM_STRANGLE,NIFTY,2025-07-04,2025-07-10,25461.0,25355.25,25450.0,75,130000.0,215.65,539.12,16173.75,80.0,16.17,8.09,15.86,0.02,150.0,270.14,15903.61,EXPIRY,True,"['short_ce:25550.0CE@99.0->0.0', 'short_pe:25350.0PE@116.65->0.0']",2025,2025-07
OTM_STRANGLE_2025-07-11_2025-07-17,OTM_STRANGLE,NIFTY,2025-07-11,2025-07-17,25149.85,25111.45,25150.0,75,130000.0,229.1,572.75,17182.5,80.0,17.18,8.59,15.95,0.02,150.0,271.74,16910.76,EXPIRY,True,"['short_ce:25250.0CE@174.15->0.0', 'short_pe:25050.0PE@54.95->0.0']",2025,2025-07
OTM_STRANGLE_2025-07-18_2025-07-24,OTM_STRANGLE,NIFTY,2025-07-18,2025-07-24,24968.4,25062.1,24950.0,75,130000.0,233.95,584.88,16638.75,80.0,17.55,9.23,16.06,0.05,150.0,272.88,16365.87,EXPIRY,True,"['short_ce:25050.0CE@191.95->12.099999999998545', 'short_pe:24850.0PE@42.0->0.0']",2025,2025-07
OTM_STRANGLE_2025-07-25_2025-07-31,OTM_STRANGLE,NIFTY,2025-07-25,2025-07-31,24837.0,24768.35,24850.0,75,130000.0,214.15,535.38,16061.25,80.0,16.06,8.03,15.85,0.02,150.0,269.96,15791.29,EXPIRY,True,"['short_ce:24950.0CE@178.15->0.0', 'short_pe:24750.0PE@36.0->0.0']",2025,2025-07
OTM_STRANGLE_2025-08-01_2025-08-07,OTM_STRANGLE,NIFTY,2025-08-01,2025-08-07,24565.35,24596.15,24550.0,75,130000.0,254.9,637.25,19117.5,80.0,19.12,9.56,16.12,0.02,150.0,274.82,18842.68,EXPIRY,True,"['short_ce:24650.0CE@200.0->0.0', 'short_pe:24450.0PE@54.9->0.0']",2025,2025-08
OTM_STRANGLE_2025-08-08_2025-08-14,OTM_STRANGLE,NIFTY,2025-08-08,2025-08-14,24363.3,24631.3,24350.0,75,130000.0,281.8,704.5,7537.5,80.0,21.14,17.37,17.53,0.44,150.0,286.48,7251.02,EXPIRY,True,"['short_ce:24450.0CE@251.8->181.29999999999927', 'short_pe:24250.0PE@30.0->0.0']",2025,2025-08
OTM_STRANGLE_2025-08-18_2025-08-21,OTM_STRANGLE,NIFTY,2025-08-18,2025-08-21,24876.95,25083.75,24900.0,75,130000.0,165.2,413.0,6108.75,80.0,12.39,9.34,16.08,0.21,150.0,268.02,5840.73,EXPIRY,True,"['short_ce:25000.0CE@80.2->83.75', 'short_pe:24800.0PE@85.0->0.0']",2025,2025-08
OTM_STRANGLE_2025-08-22_2025-08-28,OTM_STRANGLE,NIFTY,2025-08-22,2025-08-28,24870.1,24500.9,24850.0,75,130000.0,213.75,534.38,-2651.25,80.0,16.03,17.36,17.53,0.6,150.0,281.51,-2932.76,EXPIRY,False,"['short_ce:24950.0CE@190.05->0.0', 'short_pe:24750.0PE@23.7->249.09999999999854']",2025,2025-08
OTM_STRANGLE_2025-08-29_2025-09-02,OTM_STRANGLE,NIFTY,2025-08-29,2025-09-02,24426.85,24579.6,24450.0,75,130000.0,181.0,452.5,11355.0,80.0,13.57,7.9,15.82,0.08,150.0,267.38,11087.62,EXPIRY,True,"['short_ce:24550.0CE@107.0->29.599999999998545', 'short_pe:24350.0PE@74.0->0.0']",2025,2025-08
