category,filter_or_candidate,period,trades,win_rate_pct,net_pnl_inr,profit_factor
COMBINATION,Filter A + ATR_0.25,OOS 2025,16,37.5,-355.44,0.99
COMBINATION,Filter A + ATR_0.25,OOS 2026,9,55.6,18158.57,3.029
COMBINATION,Filter A + ATR_0.25,FULL 7.6Y,73,42.5,32574.23,1.288
COMBINATION,Filter A + ATR_0.50,DEV 2019-2021,8,50.0,12799.14,2.311
COMBINATION,Filter A + ATR_0.50,VAL 2022-2023,19,47.4,12763.63,1.478
COMBINATION,Filter A + ATR_0.50,OOS 2024,10,20.0,-9449.38,0.351
COMBINATION,Filter A + ATR_0.50,OOS 2025,11,36.4,4950.39,1.211
COMBINATION,Filter A + ATR_0.50,OOS 2026,3,66.7,12222.15,6.456
COMBINATION,Filter A + ATR_0.50,FULL 7.6Y,51,41.2,33285.93,1.434
COMBINATION,Filter B + ATR_0.25,DEV 2019-2021,32,37.5,-561.77,0.991
COMBINATION,Filter B + ATR_0.25,VAL 2022-2023,28,50.0,24972.62,1.688
COMBINATION,Filter B + ATR_0.25,OOS 2024,14,21.4,-12151.77,0.388
COMBINATION,Filter B + ATR_0.25,OOS 2025,16,37.5,-355.44,0.99
COMBINATION,Filter B + ATR_0.25,OOS 2026,10,60.0,23113.6,3.583
COMBINATION,Filter B + ATR_0.25,FULL 7.6Y,100,41.0,35017.24,1.214
COMBINATION,Filter B + Mag_0.10%,DEV 2019-2021,42,33.3,-22674.12,0.741
COMBINATION,Filter B + Mag_0.10%,VAL 2022-2023,34,50.0,26083.78,1.566
COMBINATION,Filter B + Mag_0.10%,OOS 2024,16,31.2,-4924.0,0.742
COMBINATION,Filter B + Mag_0.10%,OOS 2025,20,35.0,-3265.03,0.929
COMBINATION,Filter B + Mag_0.10%,OOS 2026,11,54.5,17734.26,2.349
COMBINATION,Filter B + Mag_0.10%,FULL 7.6Y,123,39.8,12954.89,1.061
COMBINATION,Mag_0.10% + ATR_0.25,DEV 2019-2021,52,28.8,-29733.71,0.714
COMBINATION,Mag_0.10% + ATR_0.25,VAL 2022-2023,45,46.7,33156.43,1.562
COMBINATION,Mag_0.10% + ATR_0.25,OOS 2024,27,33.3,-14608.5,0.557
COMBINATION,Mag_0.10% + ATR_0.25,OOS 2025,21,42.9,14743.84,1.35
COMBINATION,Mag_0.10% + ATR_0.25,OOS 2026,14,57.1,22833.8,2.911
COMBINATION,Mag_0.10% + ATR_0.25,FULL 7.6Y,159,39.0,26391.86,1.106
