sess,expiry,spot,settle,vix,rsi,credit_pts,width,max_risk,lot,gross,costs,net,n_legs,oos,breach,ret_on_risk
2024-08-22,2024-08-29,24811.5,25151.95,13.33,59.621428656861966,4.63,200.0,4884.25,25,115.75,105.1,10.65,4,False,False,0.21804780672569996
2024-08-29,2024-09-05,25151.95,25145.1,13.95,65.4184616458731,3.84,200.0,4904.0,25,96.0,105.01,-9.01,4,False,False,-0.18372756933115825
2024-09-05,2024-09-12,25145.1,25388.9,14.38,66.04122497386456,3.88,200.0,4903.0,25,97.0,104.99,-7.99,4,False,False,-0.16296145217213953
2024-09-12,2024-09-19,25388.9,25415.8,13.63,52.87126375546594,8.72,200.0,4782.0,25,218.0,105.65,112.35,4,False,False,2.3494353826850687
2024-09-19,2024-09-26,25415.8,26216.05,13.37,62.954284327108226,8.17,200.0,4795.75,25,-1447.0,106.67,-1553.67,4,False,True,-32.39680967523328
2024-10-03,2024-10-10,25250.1,24998.45,11.99,60.78981739837023,20.04,200.0,4499.0,25,501.0,107.0,394.0,4,False,False,8.75750166703712
2024-10-10,2024-10-17,24998.45,24749.85,14.12,42.01056815954167,10.98,200.0,4725.5,25,274.5,105.62,168.88,4,False,False,3.5738017141043277
2024-10-17,2024-10-24,24749.85,24399.4,13.05,42.749864450158896,11.22,200.0,4719.5,25,280.5,105.72,174.78,4,False,False,3.7033584066108696
2024-11-07,2024-11-14,24199.35,23532.7,14.87,46.05006762928595,11.57,200.0,4710.75,25,289.25,105.73,183.52,4,False,False,3.8957703125829224
2024-11-28,2024-12-05,23914.15,24708.4,14.63,52.186298101050234,15.5,200.0,4612.5,25,-1072.5,106.81,-1179.31,4,False,True,-25.56769647696477
2024-12-05,2024-12-12,24708.4,24548.7,14.45,55.890984817066744,21.39,200.0,4465.25,25,534.75,107.02,427.73,4,False,False,9.579082918089693
2024-12-12,2024-12-19,24548.7,23951.7,13.27,58.28296645386396,12.05,200.0,4698.75,25,301.25,105.54,195.71,4,False,False,4.165150305932428
2025-01-02,2025-01-09,24188.65,23526.5,14.51,40.678719182310715,12.01,200.0,14099.25,75,900.75,128.46,772.29,4,False,False,5.477525400287249
2025-01-09,2025-01-16,23526.5,23311.8,14.47,42.63405923231433,13.33,200.0,14000.25,75,999.75,128.17,871.58,4,False,False,6.225460259638221
2025-01-30,2025-02-06,23249.5,23603.35,18.64,43.58672801076352,35.42,200.0,12343.5,75,2656.5,138.76,2517.74,4,False,False,20.397294122412603
2025-02-06,2025-02-13,23603.35,23031.4,14.08,55.61172802748801,16.55,200.0,13758.75,75,1241.25,129.25,1112.0,4,False,False,8.082129553920232
2025-02-13,2025-02-20,23031.4,22913.15,14.9,40.91065578931939,13.87,200.0,13959.75,75,1040.25,128.27,911.98,4,False,False,6.532925016565483
2025-03-20,2025-03-27,23190.65,23591.95,13.3,56.03034430433071,7.16,200.0,14463.0,75,537.0,127.0,410.0,4,False,False,2.8348198852243653
2025-04-30,2025-05-08,24334.2,24273.8,17.37,65.03992690743334,18.87,200.0,13584.75,75,1415.25,134.3,1280.95,4,False,False,9.42932332210751
2025-05-08,2025-05-15,24273.8,25062.1,19.06,65.04295910639829,15.08,200.0,13869.0,75,1131.0,140.59,990.41,4,False,False,7.141178167135337
2025-05-15,2025-05-22,25062.1,24609.7,17.23,61.49006904368925,11.86,200.0,14110.5,75,889.5,129.98,759.52,4,False,False,5.382658304099784
2025-05-22,2025-05-29,24609.7,24833.6,17.55,59.86782699237355,11.12,200.0,14166.0,75,834.0,128.65,705.35,4,False,False,4.979175490611324
2025-05-29,2025-06-05,24833.6,24750.9,18.02,56.052965904535746,9.09,200.0,14318.25,75,681.75,127.71,554.04,4,False,False,3.8694672882510077
