trade_idx,signal_date,expiry_date,type,gross_payoff,statutory_costs,reconstructed_net,discrepancy
57,2023-11-28,2023-11-30,BULL_CALL,6647.5,65.77,6581.73,0.0
58,2023-12-08,2023-12-14,BULL_CALL,5072.5,69.23,5003.27,0.0
59,2023-12-14,2023-12-21,BULL_CALL,-4385.0,54.31,-4439.31,0.0
60,2024-01-12,2024-01-18,BULL_CALL,-4292.5,52.72,-4345.22,0.0
61,2024-01-18,2024-01-25,BEAR_PUT,-830.0,57.8,-887.8,0.0
62,2024-02-02,2024-02-08,BULL_CALL,-4642.5,55.04,-4697.54,0.0
63,2024-02-16,2024-02-22,BULL_CALL,1495.0,64.59,1430.41,0.0
64,2024-02-22,2024-02-29,BULL_CALL,-5097.5,55.96,-5153.46,0.0
65,2024-03-01,2024-03-07,BULL_CALL,12.5,62.52,-50.02,0.0
66,2024-03-19,2024-03-21,BEAR_PUT,-2780.0,50.3,-2830.3,0.0
67,2024-03-28,2024-04-04,BULL_CALL,1110.0,63.88,1046.12,0.0
68,2024-04-04,2024-04-10,BULL_CALL,5572.5,72.02,5500.48,0.0
69,2024-04-10,2024-04-18,BULL_CALL,-4230.0,52.6,-4282.6,0.0
70,2024-04-29,2024-05-02,BULL_CALL,-1817.5,48.79,-1866.29,0.0
71,2024-05-02,2024-05-09,BULL_CALL,-2613.75,51.01,-2664.76,0.0
72,2024-05-09,2024-05-16,BEAR_PUT,-1686.25,50.82,-1737.07,0.0
73,2024-05-21,2024-05-23,BULL_CALL,4743.75,67.25,4676.5,0.0
74,2024-06-04,2024-06-06,BEAR_PUT,-2741.25,58.71,-2799.96,0.0
75,2024-06-07,2024-06-13,BULL_CALL,-1297.5,54.82,-1352.32,0.0
76,2024-06-20,2024-06-27,BULL_CALL,3923.75,73.82,3849.93,0.0
77,2024-07-01,2024-07-04,BULL_CALL,656.25,54.1,602.15,0.0
78,2024-07-09,2024-07-11,BULL_CALL,-1315.0,48.23,-1363.23,0.0
79,2024-07-12,2024-07-18,BULL_CALL,4238.75,61.03,4177.72,0.0
80,2024-07-26,2024-08-01,BULL_CALL,563.75,55.09,508.66,0.0
81,2024-08-05,2024-08-08,BEAR_PUT,-1541.25,53.61,-1594.86,0.0
82,2024-08-20,2024-08-22,BULL_CALL,241.25,51.11,190.14,0.0
83,2024-09-12,2024-09-19,BULL_CALL,-1597.5,49.6,-1647.1,0.0
84,2024-09-20,2024-09-26,BULL_CALL,4501.25,67.84,4433.41,0.0
85,2024-10-03,2024-10-10,BEAR_PUT,3553.75,60.94,3492.81,0.0
86,2024-10-17,2024-10-24,BEAR_PUT,4643.75,65.81,4577.94,0.0
87,2024-11-04,2024-11-07,BEAR_PUT,-2133.75,53.35,-2187.1,0.0
88,2024-11-12,2024-11-14,BEAR_PUT,4632.5,64.92,4567.58,0.0
89,2024-11-21,2024-11-28,BEAR_PUT,-2005.0,53.47,-2058.47,0.0
90,2024-12-02,2024-12-05,BULL_CALL,3935.0,68.85,3866.15,0.0
91,2024-12-13,2024-12-19,BULL_CALL,-2181.25,50.86,-2232.11,0.0
92,2025-01-09,2025-01-16,BEAR_PUT,8478.75,87.45,8391.3,0.0
93,2025-01-21,2025-01-23,BEAR_PUT,-3742.5,53.32,-3795.82,0.0
94,2025-01-27,2025-01-30,BEAR_PUT,-1963.75,51.37,-2015.12,0.0
95,2025-01-31,2025-02-06,BULL_CALL,-4897.5,82.46,-4979.96,0.0
96,2025-02-20,2025-02-27,BEAR_PUT,13376.25,103.56,13272.69,0.0
97,2025-03-18,2025-03-20,BULL_CALL,14313.75,92.99,14220.76,0.0
98,2025-04-04,2025-04-09,BEAR_PUT,13440.0,127.44,13312.56,0.0
99,2025-04-17,2025-04-24,BULL_CALL,11733.75,115.51,11618.24,0.0
100,2025-05-02,2025-05-08,BULL_CALL,-6416.25,59.42,-6475.67,0.0
101,2025-05-09,2025-05-15,BEAR_PUT,-5407.5,75.22,-5482.72,0.0
102,2025-05-15,2025-05-22,BULL_CALL,-7061.25,63.92,-7125.17,0.0
103,2025-06-03,2025-06-05,BEAR_PUT,-5043.75,55.73,-5099.48,0.0
104,2025-06-06,2025-06-12,BULL_CALL,-7140.0,61.88,-7201.88,0.0
105,2025-07-10,2025-07-17,BEAR_PUT,9330.0,82.35,9247.65,0.0
106,2025-07-18,2025-07-24,BEAR_PUT,-3795.0,54.12,-3849.12,0.0
107,2025-07-25,2025-07-31,BEAR_PUT,-2512.5,59.83,-2572.33,0.0
108,2025-08-01,2025-08-07,BEAR_PUT,-5107.5,58.5,-5166.0,0.0
109,2025-08-08,2025-08-14,BEAR_PUT,-4248.75,55.15,-4303.9,0.0
110,2025-08-18,2025-08-21,BULL_CALL,4282.5,73.55,4208.95,0.0
111,2025-08-29,2025-09-02,BEAR_PUT,-3551.25,51.54,-3602.79,0.0
112,2025-09-10,2025-09-16,BULL_CALL,11325.0,89.32,11235.68,0.0
113,2025-09-16,2025-09-23,BULL_CALL,-6446.25,56.96,-6503.21,0.0
114,2025-09-25,2025-09-30,BEAR_PUT,15041.25,84.05,14957.2,0.0
115,2025-10-09,2025-10-14,BULL_CALL,-4218.75,51.48,-4270.23,0.0
116,2025-10-15,2025-10-20,BULL_CALL,11400.0,134.63,11265.37,0.0
117,2025-10-29,2025-11-04,BULL_CALL,-7721.25,61.69,-7782.94,0.0
118,2025-11-04,2025-11-11,BEAR_PUT,-4980.0,56.68,-5036.68,0.0
119,2025-11-14,2025-11-18,BULL_CALL,-5088.75,54.15,-5142.9,0.0
120,2025-11-19,2025-11-25,BULL_CALL,-6577.5,58.09,-6635.59,0.0
121,2025-11-26,2025-12-02,BULL_CALL,-6453.75,56.78,-6510.53,0.0
122,2025-12-09,2025-12-16,BEAR_PUT,-4923.75,55.54,-4979.29,0.0
123,2026-01-02,2026-01-06,BULL_CALL,-2132.0,48.91,-2180.91,0.0
124,2026-01-08,2026-01-13,BEAR_PUT,4329.0,65.59,4263.41,0.0
125,2026-01-14,2026-01-20,BEAR_PUT,12460.5,102.26,12358.24,0.0
126,2026-02-03,2026-02-10,BULL_CALL,3064.75,78.65,2986.1,0.0
127,2026-02-19,2026-02-24,BEAR_PUT,-4504.5,57.58,-4562.08,0.0
128,2026-02-24,2026-03-02,BEAR_PUT,11869.0,126.09,11742.91,0.0
129,2026-03-06,2026-03-10,BEAR_PUT,3607.5,85.06,3522.44,0.0
130,2026-03-11,2026-03-17,BEAR_PUT,8739.25,101.28,8637.97,0.0
131,2026-03-19,2026-03-24,BEAR_PUT,-3217.5,76.99,-3294.49,0.0
132,2026-04-15,2026-04-21,BULL_CALL,9769.5,97.51,9671.99,0.0
133,2026-05-29,2026-06-02,BEAR_PUT,-1735.5,53.57,-1789.07,0.0
134,2026-06-05,2026-06-09,BEAR_PUT,-256.75,60.26,-317.01,0.0
135,2026-06-12,2026-06-16,BULL_CALL,10279.75,101.95,10177.8,0.0
136,2026-07-02,2026-07-07,BULL_CALL,5213.0,69.96,5143.04,0.0
137,2026-07-23,2026-07-28,BEAR_PUT,-4192.5,54.2,-4246.7,0.0
138,2026-07-31,2026-08-04,BULL_CALL,7533.5,69.75,7463.75,0.0
139,2026-08-14,2026-08-18,BEAR_PUT,7491.25,66.76,7424.49,0.0
140,2026-09-01,2026-09-08,BEAR_PUT,10816.0,105.14,10710.86,0.0
