trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
82,2023-09-21,2023-09-28,453.0,453.0,0.0,115.8,115.8,0.0,337.2,337.2,0.0
83,2023-10-05,2023-10-12,213.0,213.0,0.0,115.14,115.14,0.0,97.86,97.86,0.0
84,2023-10-12,2023-10-19,416.0,416.0,0.0,115.63,115.63,0.0,300.37,300.37,0.0
85,2023-11-16,2023-11-23,277.5,277.5,0.0,115.3,115.3,0.0,162.2,162.2,0.0
86,2024-01-04,2024-01-11,215.0,215.0,0.0,115.25,115.25,0.0,99.75,99.75,0.0
87,2024-01-11,2024-01-18,456.0,456.0,0.0,115.69,115.69,0.0,340.31,340.31,0.0
88,2024-02-01,2024-02-08,505.0,505.0,0.0,116.12,116.12,0.0,388.88,388.88,0.0
89,2024-02-08,2024-02-15,714.0,714.0,0.0,116.45,116.45,0.0,597.55,597.55,0.0
90,2024-02-15,2024-02-22,428.5,428.5,0.0,115.76,115.76,0.0,312.74,312.74,0.0
91,2024-02-22,2024-02-29,408.0,408.0,0.0,115.76,115.76,0.0,292.24,292.24,0.0
92,2024-02-29,2024-03-07,351.0,351.0,0.0,115.62,115.62,0.0,235.38,235.38,0.0
93,2024-03-14,2024-03-21,419.0,419.0,0.0,115.64,115.64,0.0,303.36,303.36,0.0
94,2024-04-18,2024-04-25,842.0,842.0,0.0,117.03,117.03,0.0,724.97,724.97,0.0
95,2024-05-02,2024-05-09,-2100.75,-2100.75,0.0,106.44,106.44,0.0,-2207.19,-2207.19,0.0
96,2024-05-09,2024-05-16,187.75,187.75,0.0,105.15,105.15,0.0,82.6,82.6,0.0
97,2024-06-06,2024-06-13,242.75,242.75,0.0,107.08,107.08,0.0,135.67,135.67,0.0
98,2024-06-20,2024-06-27,167.0,167.0,0.0,105.0,105.0,0.0,62.0,62.0,0.0
99,2024-06-27,2024-07-04,260.75,260.75,0.0,105.42,105.42,0.0,155.33,155.33,0.0
100,2024-07-25,2024-08-01,95.5,95.5,0.0,105.6,105.6,0.0,-10.1,-10.1,0.0
101,2024-08-14,2024-08-22,183.75,183.75,0.0,105.19,105.19,0.0,78.56,78.56,0.0
102,2024-08-22,2024-08-29,115.75,115.75,0.0,104.97,104.97,0.0,10.78,10.78,0.0
103,2024-08-29,2024-09-05,96.0,96.0,0.0,104.89,104.89,0.0,-8.89,-8.89,0.0
104,2024-09-05,2024-09-12,97.0,97.0,0.0,104.88,104.88,0.0,-7.88,-7.88,0.0
105,2024-09-12,2024-09-19,218.0,218.0,0.0,105.42,105.42,0.0,112.58,112.58,0.0
106,2024-09-19,2024-09-26,-1447.0,-1447.0,0.0,106.43,106.43,0.0,-1553.43,-1553.43,0.0
107,2024-10-03,2024-10-10,501.0,501.0,0.0,107.0,107.0,0.0,394.0,394.0,0.0
108,2024-10-10,2024-10-17,274.5,274.5,0.0,105.62,105.62,0.0,168.88,168.88,0.0
109,2024-10-17,2024-10-24,280.5,280.5,0.0,105.72,105.72,0.0,174.78,174.78,0.0
110,2024-11-07,2024-11-14,289.25,289.25,0.0,105.73,105.73,0.0,183.52,183.52,0.0
111,2024-11-28,2024-12-05,-1072.5,-1072.5,0.0,106.81,106.81,0.0,-1179.31,-1179.31,0.0
112,2024-12-05,2024-12-12,534.75,534.75,0.0,107.02,107.02,0.0,427.73,427.73,0.0
113,2024-12-12,2024-12-19,301.25,301.25,0.0,105.54,105.54,0.0,195.71,195.71,0.0
114,2024-12-26,2025-01-02,1443.0,1443.0,0.0,129.53,129.53,0.0,1313.47,1313.47,0.0
115,2025-01-02,2025-01-09,900.75,900.75,0.0,128.46,128.46,0.0,772.29,772.29,0.0
116,2025-01-09,2025-01-16,999.75,999.75,0.0,128.17,128.17,0.0,871.58,871.58,0.0
117,2025-01-23,2025-01-30,263.25,263.25,0.0,105.58,105.58,0.0,157.67,157.67,0.0
118,2025-01-30,2025-02-06,2656.5,2656.5,0.0,138.76,138.76,0.0,2517.74,2517.74,0.0
119,2025-02-06,2025-02-13,1241.25,1241.25,0.0,129.25,129.25,0.0,1112.0,1112.0,0.0
120,2025-02-13,2025-02-20,1040.25,1040.25,0.0,128.27,128.27,0.0,911.98,911.98,0.0
121,2025-03-20,2025-03-27,537.0,537.0,0.0,127.0,127.0,0.0,410.0,410.0,0.0
122,2025-04-30,2025-05-08,1415.25,1415.25,0.0,134.3,134.3,0.0,1280.95,1280.95,0.0
123,2025-05-08,2025-05-15,1131.0,1131.0,0.0,140.59,140.59,0.0,990.41,990.41,0.0
124,2025-05-15,2025-05-22,889.5,889.5,0.0,129.98,129.98,0.0,759.52,759.52,0.0
125,2025-05-22,2025-05-29,834.0,834.0,0.0,128.65,128.65,0.0,705.35,705.35,0.0
126,2025-05-29,2025-06-05,681.75,681.75,0.0,127.71,127.71,0.0,554.04,554.04,0.0
127,2025-06-05,2025-06-12,960.75,960.75,0.0,128.48,128.48,0.0,832.27,832.27,0.0
128,2025-06-12,2025-06-19,975.75,975.75,0.0,128.52,128.52,0.0,847.23,847.23,0.0
129,2025-06-19,2025-06-26,1180.5,1180.5,0.0,130.96,130.96,0.0,1049.54,1049.54,0.0
130,2025-06-26,2025-07-03,981.75,981.75,0.0,129.31,129.31,0.0,852.44,852.44,0.0
131,2025-07-03,2025-07-10,913.5,913.5,0.0,128.1,128.1,0.0,785.4,785.4,0.0
132,2025-07-10,2025-07-17,657.0,657.0,0.0,127.33,127.33,0.0,529.67,529.67,0.0
133,2025-07-17,2025-07-24,687.0,687.0,0.0,127.29,127.29,0.0,559.71,559.71,0.0
134,2025-07-24,2025-07-31,834.75,834.75,0.0,127.93,127.93,0.0,706.82,706.82,0.0
135,2025-07-31,2025-08-07,1329.0,1329.0,0.0,129.79,129.79,0.0,1199.21,1199.21,0.0
136,2025-08-07,2025-08-14,780.0,780.0,0.0,127.45,127.45,0.0,652.55,652.55,0.0
137,2025-09-02,2025-09-09,855.0,855.0,0.0,127.62,127.62,0.0,727.38,727.38,0.0
138,2025-09-09,2025-09-16,571.5,571.5,0.0,126.83,126.83,0.0,444.67,444.67,0.0
139,2025-09-16,2025-09-23,672.0,672.0,0.0,127.23,127.23,0.0,544.77,544.77,0.0
140,2025-10-07,2025-10-14,509.25,509.25,0.0,126.54,126.54,0.0,382.71,382.71,0.0
141,2025-10-20,2025-10-28,614.25,614.25,0.0,127.4,127.4,0.0,486.85,486.85,0.0
142,2025-11-11,2025-11-18,780.0,780.0,0.0,127.67,127.67,0.0,652.33,652.33,0.0
143,2025-11-18,2025-11-25,927.75,927.75,0.0,128.2,128.2,0.0,799.55,799.55,0.0
144,2025-11-25,2025-12-02,370.5,370.5,0.0,126.25,126.25,0.0,244.25,244.25,0.0
145,2025-12-02,2025-12-09,617.25,617.25,0.0,126.77,126.77,0.0,490.48,490.48,0.0
146,2025-12-09,2025-12-16,556.5,556.5,0.0,126.87,126.87,0.0,429.63,429.63,0.0
