datetime,side,short_k,long_k,win,pnl,lots
2026-08-04,curvature_condor,24970.278212788267,24259.522568461733,True,90651.99399414062,25
2026-08-06,curvature_condor,24990.807109236986,24281.192890763014,True,90732.69999999998,25
2026-08-10,curvature_condor,24940.476598364796,24227.124964135204,True,90533.03798828123,25
2026-08-12,curvature_condor,24774.272791023966,24097.625646476034,True,89967.50576171874,25
2026-08-14,curvature_condor,24692.388921453996,24039.611078546004,True,89699.95,25
2026-08-18,curvature_condor,24480.75024881235,23829.05053243765,True,88892.4939941406,25
2026-08-20,curvature_condor,24540.65679245743,23923.04242629257,True,89186.82475585937,25
2026-08-24,curvature_condor,24549.781826406892,23888.319736093108,True,89137.86923828126,25
2026-08-26,curvature_condor,24510.802554167556,23904.697445832444,True,89094.64374999999,25
2026-08-28,curvature_condor,24481.4507419148,23869.8500393352,True,88971.86274414061,25
2026-09-01,curvature_condor,24383.16287279243,23728.43868970757,True,88513.43798828125,25
2026-09-03,curvature_condor,24194.08853870409,23552.80989879591,True,87815.94326171874,25
2026-09-07,curvature_condor,24093.453784433805,23464.846996816195,False,-164009.26513671875,25
2026-09-09,curvature_condor,23762.299540708904,23100.700459291096,True,86125.4875,25
2026-09-11,curvature_condor,23738.681079115468,23057.518139634532,True,85997.73100585936,25
